"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1108738084034830337","1106004800536117248","960175705093939206","2019-03-21 14:32:13 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@SatoshiChela Hi, may I know where did you get this animation from? Is there a link? Or what site did you specifically use? Thanks!","","","",""
"1108728020813139968","1108727585217880069","823267556228263938","2019-03-21 13:52:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CarlosPana3 @dlacalle adquirir status monetario lleva un tiempo. Mientras estemos en esta fase de convertirse en una buena reserva de valor, así seguirá, pues nadie en su sano juicio destinará gran parte de sus bitcoins a adquirir bienes mientras tenga serias probabilidades de revalorizarse","","","",""
"1108727033138421761","1108726636453773317","823267556228263938","2019-03-21 13:48:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CarlosPana3 @dlacalle en que debe ser aceptada por la población estamos en absoluto acuerdo. Como he dicho antes, debe ser libremente adoptada, y a la vista del precio (de 0 a $4000 tras 10 años), me atrevo a decir que la adopción va por muy buen camino!","","","",""
"1108726515188097024","1108490549953261569","566534886","2019-03-21 13:46:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@hasufl @kaykurokawa beautiful paragraph","","","",""
"1108724299760844800","1108719409932193794","823267556228263938","2019-03-21 13:37:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CarlosPana3 @dlacalle me permito compartir con usted este artículo que escribí hace algún tiempo https://t.co/jYrEBFLx0V","","","","http://queesbitcoin.es/los-estados-tendran-complicado-parar-bitcoin/"
"1108718688306450434","1108717546402918400","823267556228263938","2019-03-21 13:15:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CarlosPana3 @dlacalle Cuando alguien me explique cómo se consiguen parar datos circulando por internet, satélite o radio, estaré encantado de pensar que bitcoin se puede parar. Hasta entonces, creo que sus posibilidades de éxito no son nada despreciables!! Lo que se considere es irrelevante,ES DINERO!","","","",""
"1108716651728510976","1108714967807733760","112796335","2019-03-21 13:07:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@juanrallo @NanakiXV Sí, yo creo que te has pasado","","","",""
"1108702292772032513","","","2019-03-21 12:09:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Some people pay to become a bitcoin developer https://t.co/zDLh91YOot","","","","https://twitter.com/spencernoon/status/1108498539263471616"
"1108685993681580032","1108533735580823552","16997512","2019-03-21 11:05:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Mangan150 Is there a way to measure the right amount of VAF? I mean, how do you know it has reached an acceptable level?","","","",""
"1108665954182017025","","","2019-03-21 09:45:36 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @arronschaar: The rules of Bitcoin, like them or not, should be thought of a universal constants, similar to C in physics.  21M forever…","1108331853176434688","12914952","2019-03-20 11:38:00 +0000",""
"1108630592353157120","","","2019-03-21 07:25:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @hnabilou: Here is my article on central bank digital currencies (CBDC) featured in the LSE Business Review. #CBDC #Bitcoin #CentralBank…","1108627652729028608","287117718","2019-03-21 07:13:24 +0000","https://blogs.lse.ac.uk/businessreview/2019/03/21/should-the-european-central-bank-issue-its-own-digital-currency/"
"1108629041249177601","","","2019-03-21 07:18:55 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yes please and let then the ECB manipulate it.

Let people then switch to the inmutable one. https://t.co/RrnVm2pD9X","","","","https://twitter.com/LSEforBusiness/status/1108626796810027008"
"1108625737173647360","1108616419636330496","823267556228263938","2019-03-21 07:05:47 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@CarlosPana3 @dlacalle Tener un dinero fuera del control de nadie, que nadie pueda manipular y que el mercado escoja libremente. El mejor posicionado se llama bitcoin.","","","",""
"1108625405399961600","1108614620741320704","29270179","2019-03-21 07:04:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@dlacalle El problema es que se haya generalizado pensar que alguien puede diagnosticar mejor que el mercado. Nunca ha funcionado con ningún bien/servicio. Tampoco funciona con el dinero.","","","",""
"1108599992703504384","1108472616355012608","164628863","2019-03-21 05:23:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@mvidallopez Esperar de los demás lo que tu no estás dispuesto hacer, como pagar muchos impuestos etc... 

https://t.co/VxneAnmkcG","","","","https://twitter.com/MikeTokes/status/1108490601115213824?s=19"
